id,veg_class,description,classification,mean_lichen_biomass
1,11,shadow,MVI,0
2,12,cloud,MVI,0
3,20,water,MVI,142.87
4,31,snow-ice,MVI,0
5,32,rock-rubble,MVI,0
6,33,exposed-land,MVI,0
7,34,roads,MVI,104.54
8,40,bryoids,MVI,0
9,51,shrub-tall,MVI,0.01
10,52,shrub-low,MVI,410.34
11,81,wetland-treed,MVI,846.03
12,82,wetland-shrub,MVI,317.85
13,83,wetland-herb,MVI,510.15
14,100,herb,MVI,0
15,211,coniferous-dense,MVI,358.15
16,212,coniferous-open,MVI,644.85
17,213,coniferous-sparse,MVI,480.56
18,221,broadleaf-dense,MVI,0.9
19,222,broadleaf-open,MVI,0.05
20,223,broadleaf-sparse,MVI,0
21,231,mixedwood-dense,MVI,2.19
22,232,mixedwood-open,MVI,242.31
23,233,mixedwood-sparse,MVI,0
24,1,decidous,HartJohnstone,110.34
25,2,mixed,HartJohnstone,216.6
26,5,larch,HartJohnstone,6.75
